time,pressure (Torr),time_in_mm
13:26:22,900.0,806.3666666666667
13:26:25,900.0,0.049999999999954525
13:26:28,900.0,0.10000000000002274
13:26:31,900.0,0.14999999999997726
13:26:33,900.0,0.18333333333328028
13:26:36,900.0,0.2333333333333485
13:26:39,900.0,0.283333333333303
13:26:42,900.0,0.33333333333337123
13:26:45,900.0,0.38333333333332575
13:26:47,900.0,0.41666666666662877
13:26:50,900.0,0.466666666666697
13:26:53,900.0,0.5166666666666515
13:26:56,900.0,0.566666666666606
13:26:59,900.0,0.6166666666666742
13:27:01,900.0,0.6499999999999773
13:27:04,900.0,0.7000000000000455
13:27:07,900.0,0.75
13:27:10,900.0,0.7999999999999545
13:27:13,900.0,0.8500000000000227
13:27:16,900.0,0.8999999999999773
13:27:18,900.0,0.9333333333332803
13:27:21,900.0,0.9833333333333485
13:27:24,900.0,1.033333333333303
13:27:27,900.0,1.0833333333333712
13:27:30,900.0,1.1333333333333258
13:27:33,900.0,1.1833333333332803
13:27:36,900.0,1.2333333333333485
13:27:38,900.0,1.2666666666666515
13:27:41,900.0,1.316666666666606
13:27:44,900.0,1.3666666666666742
13:27:47,900.0,1.4166666666666288
13:27:50,900.0,1.466666666666697
13:27:52,900.0,1.5
13:27:55,900.0,1.5499999999999545
13:27:58,900.0,1.6000000000000227
13:28:01,900.0,1.6499999999999773
13:28:04,900.0,1.7000000000000455
13:28:06,900.0,1.7333333333333485
13:28:09,900.0,1.783333333333303
13:28:12,900.0,1.8333333333333712
13:28:15,900.0,1.8833333333333258
13:28:18,900.0,1.9333333333332803
13:28:21,900.0,1.9833333333333485
13:28:23,900.0,2.0166666666666515
13:28:26,900.0,2.066666666666606
13:28:29,900.0,2.1166666666666742
13:28:32,900.0,2.1666666666666288
13:28:35,900.0,2.216666666666697
13:28:38,900.0,2.2666666666666515
13:28:40,900.0,2.2999999999999545
13:28:43,900.0,2.3500000000000227
13:28:46,900.0,2.3999999999999773
13:28:49,900.0,2.4500000000000455
13:28:52,900.0,2.5
13:28:55,900.0,2.5499999999999545
13:28:57,900.0,2.5833333333333712
13:29:00,900.0,2.6333333333333258
13:29:03,900.0,2.6833333333332803
